Organization,Website,Address,Description,Category,Phone,Email,Picture,Video
Surfrider Foundation,http://www.surfrider.org,"942 Calle Negocio, Ste. 350","Environmental organization dedicated to the protection and enjoyment of the world's oceans, waves and beaches for all people, through conservation, activism, research and education.",Environmental,949.492.8170,membership@surfrider.org,,
St. Joseph Center,http://www.stjosephctr.org,204 Hampton Dr.,"The agency provides a variety of emergency and ongoing programs to assist low-income and homeless individuals and families in the West Los Angeles area. Services include child care, emergency food, homeless support services, mental health services, personal goods, services for older adults, services for veterans, and a thrift store.",Low-Income Support,310.396.6468,volunteer@stjosephctr.org,,
St. Robert's Center,http://www.stmonica.net/strobert,211 3rd Ave.,"Provides emergency food, information and referral and motel vouchers for residents of Santa Monica, Venice, LAX Airport, West Los Angeles, Beverly Hills, and Culver City areas, including Malibu, Topanga, Pacific Palisades, Brentwood and Bel Air. People who are undocumented or homeless are also eligible for assistance.",Low-Income Support,310.566.1531,christine@stmonica.net,,
V2K H.E.L.P.E.R. Foundation,http://helperfoundation.org/,610 California Ave.,"V2K H.E.L.P.E.R. teaches the responsibilities of self-determination to all people, empowering those exempted from power and participation in the mainstream.",Low-Income Support,310.823.6100,help@helperfoundation.org,,
Venice Arts,http://www.venicearts.org,1702 Lincoln Blvd.,"High quality, accessible media_based arts education programs as a catalyst for people of all ages, living in low_income or underrepresented communities, to create and share personal and community stories through photography, film, and multi_media.",Arts and Education,310.392.0846,info@venice-arts.org,,
Venice Arts Council,http://www.veniceartscouncil.org,739 Palms Blvd.,Venice is a vital hub for artistic activity in Los Angeles and the world. The Venice Arts Council celebrates and supports this tradition through preserving old roots and encouraging spirited new growth in the culture and community we cherish.,Arts and Education,310.306.7372,emilywinters@verizon.net,,
Venice Community Housing Corporation,http://www.vchcorp.org/,720 Rose Ave.,"Venice Community Housing helps low-income people achieve economic and personal stability through non-profit affordable housing, education, and a comprehensive network of supportive services.",Low-Income Support,310.399.4100,info@vchcorp.org,,
Venice Family Clinic,http://www.venicefamilyclinic.org/,604 Rose Ave.,"Venice Family Clinic provides more than 106,000 primary care, specialty care, mental health, dental, and health education visits annually. All services _ including diagnosis, treatment, medications, follow-up care, and laboratory tests _ are provided free of charge.",Low-Income Support,310.664.7932,VFCinfo@mednet.ucla.edu,,
Venice Historical Society,http://www.veniceofamerica.org,P.O. Box 12844,"Strives to increase public awareness of Venice's irreplaceable historical, cultural and architectural resources. To gather and disseminate information for the preservation of structures and neighborhoods in Venice. To engage in activities that will promote the preservation and enhancement of the unique historic features of Venice.",Arts and Education,310.967.5170,info@veniceofamerica.org,,
Venice Neighborhood Council,http://www.venicenc.org/,P.O. Box 550,To improve the quality of life in Venice by building community and to secure support from the City of Los Angeles for the resources needed to achieve our goals.,Other,310.421.8627,info@venicenc.org,,
Venice Peace & Freedom Party,http://www.venicepeaceandfreedom.org,,"We are committed to socialism, democracy, ecology, feminism and racial equality. We represent the working class, those without capital in a capitalist society. We organize toward a world where cooperation replaces competition, a world where all people are well fed, clothed and housed; where all women and men have equal status; where all individuals may freely endeavor to fulfill their own talents and desires; a world of freedom and peace where every community retains its cultural integrity and lives with all others in harmony.",Other,310.399.2215,pfp@freevenice.org,,
Venice Public Art Walls (I.C.U. Art),http://veniceartwalls.com,"2554 Lincoln Blvd., Ste. 162","As an advocate for graffiti artist and public art in general, ICU Art has developed a broad-based network of artists and support personnel to work on issues and projects related to various forms of public art.",Arts and Education,310.309.7756,info@veniceartwalls.com,,
Venice Skills Center,http://www.lausd.net/Venice_Skills_Center/,611 Fifth Ave.,"Classes are designed for participants who seek to acquire a vocational skill, upgrade their current skills or master minimum competencies which will increase their marketability. We welcome adult students who can benefit from the programs offered as well as minors (students 16-18 years of age) who have been accepted into the Alternative Education and Work Center.",Arts and Education,310.664.5888,,,
Venice Surf and Skateboard Assocation,https://www.facebook.com/pages/VENICE-SURF-SKATEBOARD-ASSOCIATION/106552323590,P.O. Box 2806,VSA is a legally recognized 501(c)(3) non-profit organization currently working on a partnership with the city of Los Angeles that will allow for its continued care and maintenance of the Venice Boardwalk skatepark.,Arts and Education,310.955.8101,venicespirit@aol.com,,
Vera Davis McClendon Youth and Family Center,,610 California Ave.,The Vera Davis McClendon Youth and Family Center houses nonprofit organizations. It is operated by the City of Los Angeles Community Development Department.,Other,310.305.1865,,,
Women in Recovery,http://womeninrecovery.com/index.htm,P.O. Box 687,"Women in Recovery, Inc. provides counseling and sober living referrals for women recovering from the disease of addiction; based on the philosophy, that until a woman can face the reality of any addiction in her life, other areas of tension and pain cannot be adequately healed.  ",Substance Abuse,310.821.6401,ada@womeninrecovery.com,,
